cohort_id,covariate_id,mean,sd,database_id
23,439673212,-0.0057,NA,CMSDESynPUF1k
23,440009212,0.008,0.0892,CMSDESynPUF1k
23,441046212,-0.0057,NA,CMSDESynPUF1k
23,376405212,-0.0057,NA,CMSDESynPUF1k
23,380723212,-0.0057,NA,CMSDESynPUF1k
23,4241139212,-0.0057,NA,CMSDESynPUF1k
23,74606212,-0.0057,NA,CMSDESynPUF1k
23,138954212,-0.0057,NA,CMSDESynPUF1k
23,438960212,-0.0057,NA,CMSDESynPUF1k
23,37111502212,-0.0057,NA,CMSDESynPUF1k
23,435839212,-0.0057,NA,CMSDESynPUF1k
23,439295212,0.008,0.0892,CMSDESynPUF1k
23,201531212,-0.0057,NA,CMSDESynPUF1k
23,4105773212,-0.0057,NA,CMSDESynPUF1k
23,443268212,-0.0057,NA,CMSDESynPUF1k
23,37016888212,-0.0057,NA,CMSDESynPUF1k
23,380413212,-0.0057,NA,CMSDESynPUF1k
23,138723212,-0.0057,NA,CMSDESynPUF1k
23,4103992212,0.0102,0.1012,CMSDESynPUF1k
23,255891212,0.008,0.0892,CMSDESynPUF1k
23,4129244212,-0.0057,NA,CMSDESynPUF1k
22,4324765212,-0.1923,NA,CMSDESynPUF1k
22,4138283212,-0.1923,NA,CMSDESynPUF1k
22,73553212,0.2308,0.4895,CMSDESynPUF1k
22,37016775212,-0.1923,NA,CMSDESynPUF1k
22,4185976212,-0.1923,NA,CMSDESynPUF1k
22,4023316212,-0.1923,NA,CMSDESynPUF1k
22,72993212,-0.1923,NA,CMSDESynPUF1k
22,40481762212,-0.1923,NA,CMSDESynPUF1k
23,43530950212,-0.0057,NA,CMSDESynPUF1k
23,437214212,-0.0057,NA,CMSDESynPUF1k
23,28179212,-0.0057,NA,CMSDESynPUF1k
23,4135748212,-0.0057,NA,CMSDESynPUF1k
23,372318212,-0.0057,NA,CMSDESynPUF1k
23,4028245212,-0.0057,NA,CMSDESynPUF1k
23,42539256212,-0.0057,NA,CMSDESynPUF1k
23,193693212,-0.0057,NA,CMSDESynPUF1k
23,192854212,-0.0057,NA,CMSDESynPUF1k
23,440129212,-0.0057,NA,CMSDESynPUF1k
23,4288676212,-0.0057,NA,CMSDESynPUF1k
22,4100660212,-0.1923,NA,CMSDESynPUF1k
22,4006975212,-0.1923,NA,CMSDESynPUF1k
22,4027369212,0.1923,0.4469,CMSDESynPUF1k
22,4095643212,-0.1923,NA,CMSDESynPUF1k
22,4121450212,-0.1923,NA,CMSDESynPUF1k
22,24969212,-0.1923,NA,CMSDESynPUF1k
22,435796212,-0.1923,NA,CMSDESynPUF1k
22,40479192212,-0.1923,NA,CMSDESynPUF1k
23,77631212,-0.0057,NA,CMSDESynPUF1k
23,439255212,-0.0057,NA,CMSDESynPUF1k
23,137005212,-0.0057,NA,CMSDESynPUF1k
23,4119454212,-0.0057,NA,CMSDESynPUF1k
23,4147035212,-0.0057,NA,CMSDESynPUF1k
23,43531000212,0.008,0.0892,CMSDESynPUF1k
23,4119460212,-0.0057,NA,CMSDESynPUF1k
23,4320025212,-0.0057,NA,CMSDESynPUF1k
23,40489907212,-0.0057,NA,CMSDESynPUF1k
23,4043731212,-0.0057,NA,CMSDESynPUF1k
23,4274964212,-0.0057,NA,CMSDESynPUF1k
23,434926212,-0.0057,NA,CMSDESynPUF1k
23,4159753212,-0.0057,NA,CMSDESynPUF1k
23,194997212,-0.0057,NA,CMSDESynPUF1k
23,4339088212,-0.0057,NA,CMSDESynPUF1k
23,4164214212,-0.0057,NA,CMSDESynPUF1k
23,4051488212,-0.0057,NA,CMSDESynPUF1k
23,141095212,-0.0057,NA,CMSDESynPUF1k
23,4160342212,-0.0057,NA,CMSDESynPUF1k
23,436007212,-0.0057,NA,CMSDESynPUF1k
23,4130061212,-0.0057,NA,CMSDESynPUF1k
23,4113130212,-0.0057,NA,CMSDESynPUF1k
23,373432212,-0.0057,NA,CMSDESynPUF1k
23,4323280212,-0.0057,NA,CMSDESynPUF1k
23,73241212,-0.0057,NA,CMSDESynPUF1k
23,4028243212,-0.0057,NA,CMSDESynPUF1k
23,440940212,-0.0057,NA,CMSDESynPUF1k
23,438114212,-0.0057,NA,CMSDESynPUF1k
23,4091650212,-0.0057,NA,CMSDESynPUF1k
23,4301602212,-0.0057,NA,CMSDESynPUF1k
22,31967212,-0.1923,NA,CMSDESynPUF1k
22,197508212,-0.1923,NA,CMSDESynPUF1k
22,132797212,-0.1923,NA,CMSDESynPUF1k
22,139188212,-0.1923,NA,CMSDESynPUF1k
22,4130514212,-0.1923,NA,CMSDESynPUF1k
23,4245614212,-0.0057,NA,CMSDESynPUF1k
22,4226399212,-0.1923,NA,CMSDESynPUF1k
22,4023314212,-0.1923,NA,CMSDESynPUF1k
22,432585212,-0.1923,NA,CMSDESynPUF1k
23,4229614212,-0.0057,NA,CMSDESynPUF1k
23,4057053212,-0.0057,NA,CMSDESynPUF1k
23,434085212,-0.0057,NA,CMSDESynPUF1k
22,444263212,-0.1923,NA,CMSDESynPUF1k
22,375631212,-0.1923,NA,CMSDESynPUF1k
22,255841212,-0.1923,NA,CMSDESynPUF1k
23,198402212,-0.0057,NA,CMSDESynPUF1k
23,4148247212,-0.0057,NA,CMSDESynPUF1k
23,376938212,-0.0057,NA,CMSDESynPUF1k
23,376660212,-0.0057,NA,CMSDESynPUF1k
23,4209145212,-0.0057,NA,CMSDESynPUF1k
23,42536605212,-0.0057,NA,CMSDESynPUF1k
23,443727212,-0.0057,NA,CMSDESynPUF1k
23,202002212,-0.0057,NA,CMSDESynPUF1k
23,4018956212,-0.0057,NA,CMSDESynPUF1k
23,4336142212,-0.0057,NA,CMSDESynPUF1k
23,379820212,-0.0057,NA,CMSDESynPUF1k
23,379819212,-0.0057,NA,CMSDESynPUF1k
23,4291302212,-0.0057,NA,CMSDESynPUF1k
23,4077761212,-0.0057,NA,CMSDESynPUF1k
23,4122936212,-0.0057,NA,CMSDESynPUF1k
22,4199233212,-0.1923,NA,CMSDESynPUF1k
22,4291005212,-0.1923,NA,CMSDESynPUF1k
23,74728212,-0.0057,NA,CMSDESynPUF1k
23,4182007212,0.0477,0.2186,CMSDESynPUF1k
23,440921212,0.1261,0.3554,CMSDESynPUF1k
23,4178680212,0.1614,0.4019,CMSDESynPUF1k
23,45763613212,0.0932,0.3054,CMSDESynPUF1k
23,81611212,0.05,0.2237,CMSDESynPUF1k
23,37018424212,0.1182,0.344,CMSDESynPUF1k
23,435506212,0.0773,0.2781,CMSDESynPUF1k
23,4089897212,0.0966,0.311,CMSDESynPUF1k
23,4113104212,-0.0057,NA,CMSDESynPUF1k
23,4054501212,0.1659,0.4076,CMSDESynPUF1k
23,4200991212,0.008,0.0892,CMSDESynPUF1k
23,4112853212,0.0273,0.1652,CMSDESynPUF1k
23,80767212,0.0375,0.1938,CMSDESynPUF1k
23,40480128212,0.008,0.0892,CMSDESynPUF1k
23,4153882212,0.0227,0.1508,CMSDESynPUF1k
23,4129865212,0.017,0.1306,CMSDESynPUF1k
23,4180902212,0.008,0.0892,CMSDESynPUF1k
23,197981212,0.25,0.5003,CMSDESynPUF1k
23,77670212,0.15,0.3875,CMSDESynPUF1k
23,81902212,0.092,0.3036,CMSDESynPUF1k
23,134159212,0.0318,0.1785,CMSDESynPUF1k
23,201688212,-0.0057,NA,CMSDESynPUF1k
23,44784217212,0.1659,0.4076,CMSDESynPUF1k
23,377554212,-0.0057,NA,CMSDESynPUF1k
23,43531033212,0.0114,0.1067,CMSDESynPUF1k
23,380094212,0.0068,0.0826,CMSDESynPUF1k
23,4041554212,0.0886,0.2979,CMSDESynPUF1k
23,80951212,-0.0057,NA,CMSDESynPUF1k
23,4252534212,0.017,0.1306,CMSDESynPUF1k
23,253506212,0.0727,0.2698,CMSDESynPUF1k
23,312437212,0.0636,0.2524,CMSDESynPUF1k
23,313217212,0.0966,0.311,CMSDESynPUF1k
23,4304010212,-0.0057,NA,CMSDESynPUF1k
23,4305080212,-0.0057,NA,CMSDESynPUF1k
23,4311591212,-0.0057,NA,CMSDESynPUF1k
23,4180313212,0.0148,0.1216,CMSDESynPUF1k
23,432851212,0.0193,0.1391,CMSDESynPUF1k
23,258787212,-0.0057,NA,CMSDESynPUF1k
23,4103988212,-0.0057,NA,CMSDESynPUF1k
23,4305808212,0.0102,0.1012,CMSDESynPUF1k
23,375807212,0.075,0.274,CMSDESynPUF1k
23,372892212,0.0091,0.0954,CMSDESynPUF1k
23,440069212,0.033,0.1816,CMSDESynPUF1k
23,4090425212,0.0114,0.1067,CMSDESynPUF1k
23,436222212,0.0114,0.1067,CMSDESynPUF1k
23,4201402212,0.0364,0.1908,CMSDESynPUF1k
23,4130995212,0.0386,0.1967,CMSDESynPUF1k
23,80502212,0.0432,0.2079,CMSDESynPUF1k
23,195977212,-0.0057,NA,CMSDESynPUF1k
23,81175212,-0.0057,NA,CMSDESynPUF1k
